City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Charleston,US,32.7766,-79.9309,89.78,72,0,13.8,haze
156,Hue,VN,16.4667,107.6,78.91,89,20,2.3,few clouds
157,Nanortalik,GL,60.1432,-45.2371,46.65,84,23,4.07,few clouds
158,Barentu,ER,15.1139,37.5928,75.85,68,28,6.96,scattered clouds
159,Severo-Kurilsk,RU,50.6789,156.125,55.47,90,52,6.38,broken clouds
160,Grand-Lahou,CI,5.1367,-5.0242,75.0,76,71,8.48,broken clouds
161,Gedo,ET,9.0167,37.45,52.14,96,76,1.45,light rain
162,Ojinaga,MX,29.5667,-104.4167,102.58,28,40,8.05,scattered clouds
163,Carnarvon,AU,-24.8667,113.6333,61.65,67,6,9.53,clear sky
164,Cockburn Town,TC,21.4612,-71.1419,82.04,79,100,18.79,overcast clouds
165,Chokurdakh,RU,70.6333,147.9167,52.86,49,99,13.67,overcast clouds
166,Hegang,CN,47.4,130.3667,63.91,86,34,7.07,scattered clouds
167,Hasaki,JP,35.7333,140.8333,82.29,77,0,17.45,clear sky
168,Dakar,SN,14.6937,-17.4441,77.59,91,100,9.8,heavy intensity rain
169,Granville,AU,-33.8333,151.0167,56.37,95,75,8.05,broken clouds
170,Mount Hagen,PG,-5.8581,144.2274,65.61,78,12,1.3,few clouds
171,Ketchikan,US,55.3422,-131.6461,64.87,68,75,10.36,broken clouds
172,Ishigaki,JP,24.3448,124.1572,82.53,94,20,2.3,few clouds
173,Chapais,CA,49.7834,-74.8492,74.98,55,62,11.03,broken clouds
174,Rio Grande,BR,-32.035,-52.0986,60.91,99,100,6.06,light rain
175,Thompson,CA,55.7435,-97.8558,59.16,77,100,6.91,overcast clouds
176,Ende,ID,-8.8432,121.6623,73.2,83,87,2.19,overcast clouds
177,Sioux Lookout,CA,50.1001,-91.917,71.67,64,40,10.36,scattered clouds
178,Alofi,NU,-19.0595,-169.9187,76.89,83,80,4.61,broken clouds
179,Upernavik,GL,72.7868,-56.1549,42.6,94,100,19.42,overcast clouds
180,Diffa,NE,13.3154,12.6113,85.19,58,87,5.97,overcast clouds
181,Sinnamary,GF,5.3833,-52.95,78.35,85,43,6.8,scattered clouds
182,Pevek,RU,69.7008,170.3133,32.92,89,98,5.7,overcast clouds
183,Paracin,RS,43.8608,21.4078,73.26,35,0,2.86,clear sky
184,Yaring,TH,6.8662,101.3689,76.69,90,87,4.45,overcast clouds
185,Camana,PE,-16.6228,-72.7111,60.26,85,76,4.5,broken clouds
186,Gurupa,BR,-1.405,-51.64,79.21,72,85,0.94,overcast clouds
187,Westport,US,41.1415,-73.3579,88.95,62,0,12.66,clear sky
188,Praia,CV,14.9215,-23.5087,76.46,81,77,2.75,broken clouds
189,Borova,UA,50.1763,30.1043,68.25,82,12,5.48,few clouds
190,Lebu,CL,-37.6167,-73.65,53.28,97,100,12.17,overcast clouds
191,Chuy,UY,-33.6971,-53.4616,54.43,98,92,4.88,overcast clouds
192,Verkhnyaya Inta,RU,65.9811,60.3094,40.51,91,78,8.34,broken clouds
