City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
350,Bonanza,NI,72.55,overcast clouds,14.0289,-84.591,Edificio Administrativo HEMCO
351,Hami,CN,88.47,clear sky,42.8,93.45,Laoyutang Resort
352,Sola,VU,84.87,broken clouds,-13.8833,167.55,Leumerus Bungalows
353,Rengasdengklok,ID,79.56,few clouds,-6.1592,107.2981,Kost Citra Kirana Rengasdengklok
354,Mashhad,IR,77.14,clear sky,36.297,59.6062,Khanye Sabz Hotel
355,San Patricio,US,90.54,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
356,Sotuta,MX,84.22,scattered clouds,20.6,-89.0167,Posada Las Palmas
357,Labrea,BR,78.96,broken clouds,-7.2586,-64.7981,Hotel Novo Horizonte
359,Port-Gentil,GA,73.0,overcast clouds,-0.7193,8.7815,Fengshui Residence
360,Bouar,CF,62.71,overcast clouds,5.934,15.596,Motel de l'UNITE
361,Waingapu,ID,79.14,clear sky,-9.6567,120.2641,Pondok Wisata Elim
364,Atar,MR,83.8,moderate rain,20.5169,-13.0499,Oumou Elghoura
365,Morondava,MG,68.31,broken clouds,-20.2833,44.2833,La Case Bambou
368,Paita,PE,62.91,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
369,Fez,MA,86.25,clear sky,34.0372,-4.9998,Hotel Mounia Fès
372,Chumikan,RU,61.72,few clouds,54.7183,135.315,Fortuna
374,Belyy Yar,RU,61.86,light rain,53.6039,91.3903,Pasportnyy Stol
375,Batagay,RU,70.77,overcast clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
376,Mount Isa,AU,65.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
381,Doha,QA,93.09,clear sky,25.2867,51.5333,Doha Marriott Hotel
383,Jishou,CN,85.68,overcast clouds,28.3167,109.7167,7 Days Inn
384,Zhuhai,CN,90.86,few clouds,22.2769,113.5678,珠海粤财假日酒店
385,Evanston,US,87.94,broken clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
387,Kavaratti,IN,81.09,overcast clouds,10.5669,72.642,Green leaf
388,Tezu,IN,77.11,overcast clouds,27.9167,96.1667,Circuit House
389,Sultanpur,IN,82.81,moderate rain,26.2667,82.0667,OYO 49568 Vrindavan Guest House
392,Kavarna,BG,70.57,clear sky,43.4333,28.3333,Вила Алегра (Villa Allegra)
394,Kutum,SD,78.71,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
396,Lagoa,PT,71.65,overcast clouds,39.05,-27.9833,Casa Das Faias
397,Yaguaron,PY,78.75,overcast clouds,-25.6,-57.3,QUINTA CHOPI
400,Smithers,CA,77.32,few clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
401,Ugento,IT,67.5,clear sky,39.9263,18.1574,Porta Paradiso
403,Pestravka,RU,62.89,broken clouds,52.405,49.9583,"Gostinitsa ""Germes"""
405,Kano,NG,77.34,overcast clouds,12.0001,8.5167,Royal Tropicana Hotel
406,Oussouye,SN,78.89,moderate rain,12.485,-16.5469,Auberge du Routard
407,Furstenfeld,AT,74.3,overcast clouds,47.05,16.0833,JUFA Hotel Fürstenfeld
408,Ndjole,GA,71.94,overcast clouds,-0.1783,10.7649,Motel Kédyann
410,Hualmay,PE,61.99,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
411,Hobyo,SO,75.4,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
415,Hungund,IN,73.36,overcast clouds,16.0667,76.05,Shree Raghavendra Hotel
416,Uusikaupunki,FI,61.77,overcast clouds,60.8004,21.4084,Hotel Aquarius
417,Qui Nhon,VN,81.72,overcast clouds,13.7667,109.2333,Seagull Hotel
418,Marawi,PH,76.53,broken clouds,7.9986,124.2928,Derogongan Residence
419,Soure,BR,79.3,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
420,Mackay,AU,71.69,clear sky,-21.15,149.2,International Lodge Motel
421,Katiola,CI,74.03,overcast clouds,8.1333,-5.1,Auberge Residence Yebin
422,Fairbanks,US,62.6,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
423,Sahuaripa,MX,81.45,overcast clouds,29.05,-109.2333,Estatua de Sahuaripa
425,Kanchanaburi,TH,75.85,light rain,14.6333,99.1,แพบุญศรี
426,Hamilton,US,87.24,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
427,Sakakah,SA,90.97,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
429,Leh,IN,66.13,overcast clouds,34.1667,77.5833,Hotel Ladakh Greens
430,Tawau,MY,80.73,broken clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
431,Tommot,RU,82.29,broken clouds,58.9564,126.2925,Gostinitsa Tommot
433,Mogadishu,SO,75.34,light rain,2.0371,45.3438,Hotel Juba
435,Bambanglipuro,ID,78.03,overcast clouds,-7.95,110.2833,Puri Brata
436,Nanlong,CN,71.33,scattered clouds,31.3533,106.0631,Demei Hotel
439,Hervey Bay,AU,65.66,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
440,Sterling,US,88.59,scattered clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
441,Kentau,KZ,85.32,clear sky,43.5206,68.5094,Safary
443,Niltepec,MX,80.74,scattered clouds,16.5667,-94.6167,Hotel Palma Real
444,Shingu,JP,83.48,few clouds,33.7333,135.9833,Shingu UI Hotel
447,Boffa,GN,75.51,light rain,10.1667,-14.0333,Hôtel Niara Belly
448,Mastic Beach,US,84.78,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
449,Washington,US,92.79,clear sky,47.5001,-120.5015,Sky Meadows Bed & Breakfast
450,Pimentel,PE,62.46,few clouds,-6.8367,-79.9342,Hotel Puerto del Sol
452,Daytona Beach,US,86.02,scattered clouds,29.2108,-81.0228,"Holiday Inn Resort Daytona Beach Oceanfront, an IHG Hotel"
453,Artigas,UY,64.24,moderate rain,-30.4,-56.4667,Hotel Casino San Eugenio del Cuareim
